id,dut,categories,test,description,inputs,result,messages
496,Site1-L2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet53/1 - Remote: Site1-S3 Ethernet2/1,PASS,
497,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: DCI-1 Loopback0 (IP: 192.168.250.1),FAIL,"Host 192.168.250.1 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
498,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: DCI-2 Loopback0 (IP: 192.168.250.2),FAIL,"Host 192.168.250.2 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
499,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: DCI-3 Loopback0 (IP: 192.168.250.3),FAIL,"Host 192.168.250.3 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
500,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-BGW1 Loopback0 (IP: 192.0.255.17),FAIL,"Host 192.0.255.17 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
501,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-BGW2 Loopback0 (IP: 192.0.255.18),FAIL,"Host 192.0.255.18 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
502,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-BGW3 Loopback0 (IP: 192.0.255.19),FAIL,"Host 192.0.255.19 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
503,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-L1 Loopback0 (IP: 192.0.255.13),FAIL,"Host 192.0.255.13 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
504,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-L2 Loopback0 (IP: 192.0.255.14),PASS,
505,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-L3 Loopback0 (IP: 192.0.255.15),FAIL,"Host 192.0.255.15 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
506,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-L4 Loopback0 (IP: 192.0.255.16),FAIL,"Host 192.0.255.16 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
507,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-S1 Loopback0 (IP: 192.0.255.1),PASS,
508,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-S2 Loopback0 (IP: 192.0.255.2),PASS,
509,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site1-S3 Loopback0 (IP: 192.0.255.3),PASS,
510,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site2-BGW1 Loopback0 (IP: 192.2.255.27),FAIL,"Host 192.2.255.27 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
511,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site2-BGW2 Loopback0 (IP: 192.2.255.28),FAIL,"Host 192.2.255.28 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
512,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site2-BGW3 Loopback0 (IP: 192.2.255.29),FAIL,"Host 192.2.255.29 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
513,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site2-L1 Loopback0 (IP: 192.2.255.23),FAIL,"Host 192.2.255.23 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
514,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site2-L2 Loopback0 (IP: 192.2.255.24),FAIL,"Host 192.2.255.24 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
515,Site1-L2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.14) - Destination: Site2-L3 Loopback0 (IP: 192.2.255.25),FAIL,"Host 192.2.255.25 (src: 192.0.255.14, vrf: default, size: 100B, repeat: 1) - Unreachable"
